filename,accuracy,precision,recall,f1_score
aoe_court,0.21,0.0441,0.21,0.07289256198347108
aoe_defense,0.67,0.8959625668449199,0.67,0.7506396686608376
aoe_none,0.62,0.38439999999999996,0.62,0.4745679012345678
aoe_procbar,0.8484848484848485,0.961801752464403,0.8484848484848485,0.8948170324236188
case_crim,0.91,0.9105303030303031,0.91,0.9017026150028632
case_juv,0.96,0.9216,0.96,0.9404081632653061
case_pros,0.5568181818181818,0.898818228994669,0.5568181818181818,0.6617111241059782
aoe_prochist,0.31,0.9533783783783784,0.31,0.414593576733968
case_2001,0.36363636363636365,0.9620081411126188,0.36363636363636365,0.4881284845796324
